,z,F24,F70,F100,F160,F250,F350,F500,F850,F1point1mm,F1point2mm,E24,E70,E100,E160,E250,E350,E500,E850,E1point1mm,E1point2mm,RA24,DEC24
0,1.223467230796814,0.3790000081062317,0.0,25.966999053955078,33.64500045776367,31.319299697875977,18.628400802612305,7.2399001121521,2.686586691374208,0.0,0.0,0.02480126084859406,-99.0,1.8365163129956052,4.847558900446306,5.933754094475487,6.343912649646149,6.8061638127372674,1.329842250056407,0.0,0.0,150.139274,1.608265
1,1.5722999572753906,0.17800000309944153,0.0,11.482999801635742,10.531000137329102,24.85460090637207,16.06879997253418,7.605500221252441,2.6239626969923084,0.0,0.0,0.019188799706343063,-99.0,2.039594078885524,3.490511072525228,5.884590206458224,6.332703224697308,6.80680173163467,1.3919427310446884,0.0,0.0,150.237992,1.61312
2,0.5120000243186951,0.14000000059604645,0.0,6.23199987411499,11.15999984741211,8.632599830627441,2.691400051116944,0.0,-0.3121736390286987,0.0,0.0,0.11920570730031715,-99.0,1.859912658204304,3.718889122667295,5.810269774092869,6.300919759430067,21.825000762939453,1.4164269360645123,0.0,0.0,150.312249,1.613587
3,0.965499997138977,0.5199999809265137,0.0,18.44700050354004,18.93000030517578,22.57500076293945,14.770099639892578,10.57759952545166,-1.1725773717436412,0.0,0.0,0.0310644488414101,-99.0,1.54184357459357,4.286410118001238,5.8698730016172185,6.327641689397066,6.813150297678257,1.4670824219994796,0.0,0.0,150.685424,1.616052
4,1.7301734685897827,0.5009999871253967,0.0,7.453000068664551,9.654999732971193,26.90839958190918,27.037799835205078,3.82699990272522,2.2294371742554935,0.0,0.0,0.02972376981588666,-99.0,1.8533676391064382,3.0753458591426197,5.899025271084665,6.392156771535393,6.80172283213663,1.4075487367945612,0.0,0.0,149.51536000000002,1.622999
7,0.7716000080108643,0.5519999861717224,0.0,9.416000366210938,12.263999938964846,17.607500076293945,8.217700004577638,1.0255999565124512,0.6771137453161354,0.0,0.0,0.0329508715201735,-99.0,2.0910942414685403,3.5272791673470487,5.842605454272838,6.308569485183179,6.800123746552947,1.4900111413810924,0.0,0.0,150.721218,1.637384
8,1.2125999927520752,0.1979999989271164,0.0,6.072000026702881,0.0,18.22450065612793,16.573299407958984,11.62969970703125,1.1447827118260987,0.0,0.0,0.01881515408537865,-99.0,1.6255987414531698,-99.0,5.845631863080699,6.334783248480201,6.815893181707088,1.4061644861521114,0.0,0.0,150.318198,1.6380350000000001
9,0.9564999938011168,0.4690000116825104,0.0,0.0,20.3439998626709,19.16790008544922,13.56060028076172,7.765399932861327,3.291225784788043,0.0,0.0,0.02783707091878029,-99.0,-99.0,4.017282844002389,5.850457540218304,6.323307979844043,6.807090589803227,1.3820479375706305,0.0,0.0,150.269012,1.6408330000000002
10,1.2538000345230105,0.28200000524520874,0.0,18.132999420166016,51.32300186157226,44.29219818115234,28.704500198364254,11.803099632263185,2.505005484402428,0.0,0.0,0.02132627561752028,-99.0,1.697877607481044,5.323741785012238,6.0645591852623175,6.403773678903762,6.816370079264081,1.3797645409141284,0.0,0.0,149.837459,1.641102
11,0.6092000007629395,0.3210000097751617,0.0,6.809000015258789,21.277999877929688,18.35219955444336,12.044500350952148,7.467700004577638,0.937508604872496,0.0,0.0,0.024871720738081755,-99.0,1.905223800839957,3.2581329202652327,5.846271047905475,6.3183947314113365,6.8065576078788474,1.3733311007288862,0.0,0.0,149.88243500000002,1.6437869999999999
