,z,LIR_med,LIR_16th,LIR_84th,LPeak_med,LPeak_16th,LPeak_84th,alpha_med,alpha_16th,alpha_84th,beta_med,beta_16th,beta_84th,tdust_med,tdust_16th,tdust_84th
0,0.05338,11.666787951909443,0.01697503695040362,0.018048782937050027,100.68658871433009,2.834368572032048,2.7375070656142952,2.956649805110839,0.14451322193437788,0.16098274812831814,2.0579224418007023,0.09481922829723977,0.09323508459711016,47.915522557804586,1.4254799972421708,1.5274151810269458
2,0.10216,11.783782011617717,0.017712544814696855,0.018204451435643063,104.90399614788674,2.647060757532344,2.5724635851174753,4.11830429191113,0.17217160002517717,0.1918544918863292,2.038119321266196,0.1138607921400725,0.11984166633805238,45.22174950540955,1.2176373725791265,1.2598699005473293
5,0.07071000000000001,11.350998969892423,0.017109582975999363,0.018079470585731654,109.53476832617153,3.4299675664536693,3.168733970185201,2.3852026238827255,0.11364301336786742,0.1262793501135251,2.0092589131250636,0.14498543738614522,0.14097785533038554,42.41834680444876,1.380405538886528,1.5212552504120254
6,0.05546,10.959704780015787,0.028437734393560857,0.030186008827083232,129.9155670286582,4.524814187588902,4.481755749899548,2.814348200330942,0.13439572249387677,0.1461589888068744,1.9242161950154189,0.15461739797575835,0.1562165203966699,32.82806023226976,1.5706099369486992,1.6369383024472413
7,0.07107000000000001,11.582526261381794,0.025220868076351908,0.027150527899158006,95.04966870106672,3.7759772366114106,3.785937379755879,2.884236302513808,0.1873291755496891,0.2190866181511808,2.029024581900824,0.1392242770274652,0.14405577713476259,51.55067540703756,2.138333572589424,2.27727752562307
9,0.18183,11.897372049843037,0.020689855188167097,0.02189524373190653,111.8283105145383,3.645380004374985,3.502409398547499,2.473223789699833,0.11517765876580865,0.12616231830721247,1.8931240885972844,0.1729670915424375,0.17261854947503963,40.809347799068874,1.4461446404878018,1.5515798064651705
13,0.05267,10.81227103477399,0.015853772365368016,0.01669873981551154,123.31990366152785,2.8372936929379904,2.8161202641922785,3.179995716024211,0.14099488949267602,0.15570316239212678,1.9466739145504348,0.14055118688421442,0.14591764284811348,35.48923579350746,1.0118536591795646,1.046192473496859
14,0.0571,11.034890904743532,0.03175343243017041,0.03514697650416145,115.77777391847998,5.191583838823959,5.084027689723129,2.745107406696518,0.169775238742087,0.19652628220403834,1.8394245899973818,0.17156437884659526,0.17095985227060595,38.68589014296223,2.096244431303866,2.249558044261107
15,0.050589999999999996,10.93621628175822,0.029329379902713056,0.03182910781930264,122.1802053869791,5.176193279282884,5.030257523803442,2.486905935729086,0.14116474863617556,0.15447431555821778,1.8447032104375904,0.1724922378774012,0.16771575879662537,35.825185754165304,1.925429022611958,2.0477196667252713
17,0.05446,11.089119181361056,0.01870857742556911,0.019339757493643795,104.01101695708556,3.750035011261133,3.666348280652187,2.1447697771526153,0.12335334014147525,0.13421180065050953,2.1541736145495856,0.1667228975524182,0.16749735995615822,46.22759997681758,1.6899263677934897,1.8404921472755902
